country,openai_flag
NO,66.66666666666666
IT,55.55555555555556
CR,53.333333333333336
MX,53.086419753086425
RO,48.275862068965516
BR,44.936708860759495
DE,43.0
US,40.35030814142069
SE,38.46153846153847
NL,38.23529411764706
AU,37.66816143497758
PL,36.486486486486484
RU,35.77981651376147
JP,34.21052631578947
CA,32.68365817091454
IN,31.25
NZ,30.76923076923077
GB,29.464285714285715
FI,28.57142857142857
FR,23.91304347826087
UY,17.24137931034483
CY,16.216216216216218
AR,15.384615384615385
